,refListId_actual,Rssi,classe
92,5,-44.0,1
93,5,-67.0,1
94,5,-63.0,1
95,5,-47.0,1
96,5,-47.0,1
97,5,-43.0,1
98,5,-69.0,1
99,5,-63.0,0
100,5,-60.0,1
101,5,-56.0,1
102,5,-59.0,1
103,5,-59.0,1
104,5,-50.0,1
105,5,-55.0,1
106,5,-54.0,1
107,5,-53.0,1
108,5,-52.0,1
109,5,-69.0,0
110,5,-66.0,1
111,5,-52.0,1
112,5,-53.0,1
113,5,-48.0,1
114,5,-59.0,1
115,5,-57.0,1
116,5,-57.0,1
117,5,-55.0,1
118,5,-68.0,0
119,5,-54.0,1
120,5,-55.0,1
121,5,-70.0,0
122,5,-68.0,1
123,5,-58.0,1
124,5,-60.0,1
125,5,-71.0,1
126,5,-54.0,1
127,5,-56.0,1
128,5,-54.0,1
129,5,-71.0,1
130,5,-55.0,1
131,5,-69.0,1
132,5,-59.0,0
133,5,-53.0,1
134,5,-64.0,1
135,5,-63.0,1
136,5,-55.0,1
137,5,-61.0,1
138,5,-60.0,1
139,5,-53.0,1
140,5,-59.0,1
141,5,-60.0,1
142,5,-46.0,1
143,5,-66.0,0
144,5,-55.0,1
145,5,-62.0,1
146,5,-55.0,1
147,5,-44.0,1
148,5,-60.0,1
149,5,-61.0,1
150,5,-62.0,1
151,5,-61.0,1
152,5,-68.0,0
153,5,-60.0,1
154,5,-54.0,1
155,5,-63.0,1
156,5,-59.0,1
157,5,-55.0,1
158,5,-69.0,0
159,5,-68.0,0
160,5,-68.0,0
161,5,-69.0,0
162,5,-64.0,0
163,5,-62.0,1
164,5,-59.0,1
165,5,-61.0,1
166,5,-56.0,1
167,5,-58.0,1
168,5,-58.0,1
169,5,-60.0,1
170,5,-56.0,1
171,5,-64.0,1
172,5,-60.0,1
173,5,-61.0,1
174,5,-59.0,1
175,5,-58.0,1
176,5,-60.0,1
177,5,-61.0,1
178,5,-60.0,1
179,5,-71.0,0
180,5,-58.0,0
181,5,-56.0,0
182,5,-68.0,1
183,5,-68.0,1
184,5,-59.0,1
185,5,-57.0,1
186,5,-64.0,1
187,5,-52.0,1
188,5,-61.0,1
189,5,-59.0,1
190,5,-51.0,1
191,5,-47.0,1
192,5,-53.0,1
193,5,-65.0,0
194,5,-66.0,0
195,5,-65.0,0
196,5,-70.0,0
197,5,-59.0,1
198,5,-62.0,1
199,5,-60.0,1
200,5,-48.0,1
201,5,-49.0,1
202,5,-51.0,1
203,5,-56.0,1
204,5,-72.0,0
205,5,-47.0,1
206,5,-56.0,1
207,5,-60.0,1
208,5,-61.0,1
209,5,-54.0,1
210,5,-67.0,1
211,5,-53.0,1
212,5,-48.0,1
213,5,-55.0,1
214,5,-48.0,1
215,5,-70.0,0
216,5,-46.0,1
217,5,-60.0,1
218,5,-57.0,1
219,5,-52.0,1
220,5,-48.0,1
221,5,-47.0,1
222,5,-56.0,1
223,5,-65.0,0
224,5,-60.0,0
225,5,-51.0,1
226,5,-64.0,1
227,5,-50.0,1
228,5,-47.0,1
229,5,-47.0,1
230,5,-47.0,1
231,5,-55.0,1
232,5,-57.0,1
233,5,-52.0,1
234,5,-64.0,0
235,5,-52.0,0
236,5,-60.0,0
237,5,-54.0,1
238,5,-65.0,1
239,5,-62.0,1
240,5,-68.0,1
241,5,-68.0,1
242,5,-64.0,1
243,5,-68.0,1
244,5,-69.0,0
245,5,-48.0,1
246,5,-59.0,1
247,5,-51.0,1
248,5,-69.0,1
249,5,-68.0,1
250,5,-63.0,1
251,5,-68.0,1
252,5,-64.0,1
253,5,-68.0,1
254,5,-66.0,0
255,5,-65.0,1
256,5,-68.0,1
257,5,-68.0,1
258,5,-64.0,0
259,5,-56.0,0
260,5,-58.0,1
261,5,-61.0,1
262,5,-65.0,1
263,5,-59.0,1
264,5,-57.0,1
265,5,-61.0,1
266,5,-54.0,1
267,5,-64.0,1
268,5,-62.0,1
269,5,-49.0,1
270,5,-49.0,1
271,5,-50.0,1
